Rank,Coin Name,Symbol,Price,1h,24h,7d,30d,24h Volume,Circulating Supply,Total Supply,Market Cap,price,1h_pct,24h_pct,7d_pct,30d_pct,volume,market_cap,supply,is_stablecoin,cap_tier,vol_mcap_ratio,is_high_liq_flag,is_return_outlier
1,Bitcoin,BTC,"36,456.94",0.40%,-1.70%,1.00%,18.40%,"$22,801,222,945.00 ","19,549,806",21 Million,"$712,726,163,003.00 ",36456.94,0.4,-1.7,1.0,18.4,22801222945.0,712726163003.0,19549806.0,False,Large,0.03199156159629295,False,False
2,Ethereum,ETH,"2,027.60",0.50%,1.40%,1.00%,20.70%,"$26,845,710,464.00 ","120,249,015",120 Million,"$243,488,187,281.00 ",2027.6,0.5,1.4,1.0,20.7,26845710464.0,243488187281.0,120249015.0,False,Large,0.11025467298345129,False,False
3,Tether,USDT,1.00,0.10%,-0.30%,-0.10%,-0.10%,"$47,122,466,339.00 ","88,308,652,879",88.3 Billion,"$88,027,617,310.00 ",1.0,0.1,-0.3,-0.1,-0.1,47122466339.0,88027617310.0,88308652879.0,True,Large,0.5353145726193234,True,False
4,BNB,BNB,231.63,-0.10%,-12.60%,-8.00%,5.40%,"$3,715,265,116.00 ","153,856,150",154 Million,"$35,716,332,862.00 ",231.63,-0.1,-12.6,-8.0,5.4,3715265116.0,35716332862.0,153856150.0,False,Large,0.1040214607237244,False,False
5,XRP,XRP,0.59,0.10%,-1.90%,-6.90%,12.10%,"$1,339,890,506.00 ","53,718,306,475",100 Billion,"$31,863,926,051.00 ",0.59,0.1,-1.9,-6.9,12.1,1339890506.0,31863926051.0,53718306475.0,False,Large,0.04205038964299095,False,False
6,USDC,USDC,1.00,0.00%,-0.40%,0.00%,0.00%,"$16,458,242,430.00 ","24,264,590,094",24.3 Billion,"$24,120,082,159.00 ",1.0,0.0,-0.4,0.0,0.0,16458242430.0,24120082159.0,24264590094.0,True,Large,0.6823460352044814,True,False
7,Solana,SOL,54.97,0.60%,-0.60%,-11.40%,87.90%,"$2,374,980,324.00 ","423,104,320",563 Million,"$23,258,087,884.00 ",54.97,0.6,-0.6,-11.4,87.9,2374980324.0,23258087884.0,423104320.0,False,Large,0.10211416930941372,False,False
8,Lido Staked Ether,STETH,"2,023.81",0.40%,1.50%,0.90%,20.70%,"$17,625,537.00 ","9,107,771",9.11 Million,"$18,435,320,434.00 ",2023.81,0.4,1.5,0.9,20.7,17625537.0,18435320434.0,9107771.0,False,Large,0.0009560743499469352,False,False
9,Cardano,ADA,0.37,0.10%,-1.60%,0.70%,40.10%,"$373,277,046.00 ","34,964,744,027",45 Billion,"$12,903,956,719.00 ",0.37,0.1,-1.6,0.7,40.1,373277046.0,12903956719.0,34964744027.0,False,Large,0.028927332455353068,False,False
10,Dogecoin,DOGE,0.07,0.10%,-2.30%,0.10%,14.90%,"$957,225,658.00 ","141,935,606,384",142 Billion,"$10,532,913,776.00 ",0.07,0.1,-2.3,0.1,14.9,957225658.0,10532913776.0,141935606384.0,False,Large,0.09087947346356402,False,False
